plot,id,time,LAI,SEL,DIFN,MTA,SEM,SMP,2*(S+I),std,95_conf,LAI.l,LAI.u,LAI.cv,area,gap_area,gap_rate,chm_range,chm_mean,chm_std,chm_cv,chm_1q,chm_median,chm_3q,moi_mean,moi_sd,moi_cv,twi_mean,twi_std,Ltmag,Ltyod
DRL5,1,9:52,3.85,0.25,0.045,46,2,8,3.82,0.707106781,0.53625,3.31375,4.38625,0.064935065,1353.476,173.714,0.128346568,62.34344482,19.13903997,11.29408842,59.01073636,11.8505,19.1266,26.8165,56.93333333,6.409888195,0.112585858,14.86217227,1.490469957,0,2022
DRL5,2,10:52,3.44,0.38,0.068,52,4,8,3.49,1.074802307,0.8151,2.6249,4.2551,0.110465116,1282.037,385.672,0.300827511,60.90426636,6.258204035,14.36798696,229.5864257,0.946808,11.2263,16.4219,51.72857143,9.463564213,0.18294656,13.34457066,0.060428217,0,2022
DRL5,3,11:23,2.23,0.33,0.207,51,8,5,2.16,0.737902433,0.70785,1.52215,2.93785,0.147982063,645.66,203.616,0.315361026,50.11108398,15.77067568,14.16771534,89.83581701,2.26372,13.6856,30.1853,52.76666667,2.622721233,0.049704129,12.98156725,0.048491938,0,2022
DRL5,4,10:13,5.53,0.26,0.009,41,1,8,5.31,0.735391052,0.5577,4.9723,6.0877,0.047016275,1022.825,86.364,0.084436732,65.76524353,22.7843912,15.27957926,67.06160867,10.6609,21.6763,33.451,43.37142857,6.981096926,0.160960733,13.82806979,1.523461591,0,2022
DRL5,5,10:24,3.25,0.42,0.078,47,2,8,3.19,1.187939392,0.9009,2.3491,4.1509,0.129230769,1054.444,123.734,0.117345255,48.41685486,20.60910065,8.822795829,42.81019331,15.0153,22.5387,27.1628,50.01428571,7.193846577,0.143835836,13.16639745,0.201203945,0,2022
DRL5,6,10:45,5.35,0.21,0.01,41,1,8,5.13,0.593969696,0.45045,4.89955,5.80045,0.039252336,746.808,58.467,0.078289199,36.51408386,15.92211904,6.939572366,43.58447736,12.4083,16.939,20.3383,37.72857143,10.74146394,0.284703702,13.18333464,0.160647752,0,2022
DRL5,7,11:06,4.33,0.33,0.027,42,2,7,4.16,0.873097933,0.70785,3.62215,5.03785,0.076212471,1331.067,106.259,0.079829941,56.027771,16.51147075,8.14476596,49.32792531,11.7026,16.0606,19.991,38.43333333,7.880196698,0.205035473,13.18285326,0.187684181,0,2022
DRL4,8,9:28,4.23,0.35,0.025,41,4,8,4.22,0.989949494,0.75075,3.47925,4.98075,0.082742317,1006.178,88.577,0.088033131,38.98678589,19.6542714,8.886245257,45.21279409,13.1756,22.0918,26.5034,50.33333333,4.926120854,0.097869951,13.63321845,0.288394275,0,2018
DRL4,9,9:49,4.7,0.23,0.017,39,4,8,4.6,0.650538239,0.49335,4.20665,5.19335,0.04893617,1062.365,134.994,0.127069322,51.50888062,16.3698013,9.637774657,58.87533073,9.44113,17.3119,23.2925,43.88571429,6.378199477,0.145336577,13.35383462,0.059023055,23,2018
DRL4,10,10:06,4.81,0.18,0.015,38,4,8,4.62,0.509116882,0.3861,4.4239,5.1961,0.037422037,971.346,34.768,0.035793631,40.48599243,20.28038951,8.488436759,41.85539314,14.3149,19.1731,27.2882,45.26666667,4.244368818,0.093763671,13.38151359,0.228526798,35,2018
DRL4,11,10:16,5.01,0.25,0.013,41,5,8,5.01,0.707106781,0.53625,4.47375,5.54625,0.0499002,718.366,51.817,0.072131755,45.99475098,27.34983207,12.38921354,45.29904794,19.6964,32.2505,36.6408,43.125,7.112514123,0.164927864,13.34253046,0.016281788,36,2018
DRL4,12,10:27,4.86,0.37,0.014,41,3,8,4.8,1.046518036,0.79365,4.06635,5.65365,0.076131687,927.948,226.367,0.243943626,37.50668335,13.0275616,10.29844726,79.05122675,4.30426,9.6687,22.2067,44.71428571,7.482073815,0.167330724,13.20725161,0.122592487,72,2018
DRL3,13,9:38,7.3,0.2,0.002,41,3,8,7.14,0.565685425,0.429,6.871,7.729,0.02739726,805.632,127.631,0.158423449,40.08442688,12.22512079,6.673670904,54.58981568,7.9433,11.6911,16.2505,45.65,6.372676047,0.139598599,13.23740147,0.371863275,0,2018
DRL3,14,9:50,6.98,0.15,0.003,42,3,8,6.81,0.424264069,0.32175,6.65825,7.30175,0.021489971,822.115,23.578,0.028679686,47.2368927,15.86999642,4.152594497,26.16632284,14.0971,16.093,18.1427,41.41666667,8.033533884,0.193968625,13.02584521,0.343036859,0,2018
DRL3,15,10:07,6.05,0.34,0.007,45,6,8,6.15,0.961665222,0.7293,5.3207,6.7793,0.056198347,522.193,32.337,0.06192538,41.24458313,19.34914758,6.841713101,35.35924812,15.1187,19.208,24.391,42,4.618441296,0.109962888,12.97650742,0.241759205,0,2018
DRL3,16,10:19,4.75,0.31,0.019,42,2,8,4.63,0.876812409,0.66495,4.08505,5.41495,0.065263158,1010.109,59.151,0.058559027,47.7008667,19.927759,9.28437957,46.59018393,13.302,20.6584,25.6163,41.71111111,4.537191985,0.108776579,12.71250576,0.098297263,0,2018
DRL3,17,10:52,6.78,0.33,0.004,43,4,8,6.73,0.933380951,0.70785,6.07215,7.48785,0.048672566,1163.588,105.539,0.090701348,52.04171753,21.50913576,10.47207746,48.68664916,15.2833,22.6416,28.2531,32.43333333,4.468855185,0.137785874,12.89849793,0.658332767,0,2018
DRL3,18,11:00,4.32,0.32,0.031,46,5,8,4.36,0.90509668,0.6864,3.6336,5.0064,0.074074074,1091.583,93.547,0.085698476,41.89993286,14.52655913,7.004315024,48.21730295,9.23434,14.4729,20.2924,42.25,7.837091297,0.185493285,13.34903569,0.554827482,0,2018
DRL3,19,11:15,6.86,0.41,0.003,37,4,8,6.5,1.159655121,0.87945,5.98055,7.73945,0.059766764,1043.655,138.721,0.132918445,39.45376587,15.16712781,8.146391141,53.71083599,8.32059,15.624,20.1548,27.75,4.076640774,0.146905974,13.05076251,0.165214648,0,2018
DRL2,20,9:57,0.45,0.13,0.664,0,33,2,0.44,0.183847763,0.27885,0.17115,0.72885,0.288888889,948.338,662.555,0.698648583,37.97320557,5.21401698,7.860013645,150.7477569,0,1.45268,7.97028,47.86666667,2.031419865,0.042439134,13.96750519,0.179916793,301,2017
DRL2,21,10:04,6.69,0.3,0.004,42,4,8,6.64,0.848528137,0.6435,6.0465,7.3335,0.044843049,920.993,23.433,0.02544319,39.7539978,26.10473473,8.005877787,30.6682978,23.4056,26.3915,32.3871,26.75,5.846622957,0.218565344,13.81015983,0.43103698,0,2018
DRL2,22,10:21,1.36,0.51,0.351,47,4,4,1.28,1.02,1.09395,0.26605,2.45395,0.375,767.701,626.548,0.816135449,26.99563599,1.967466043,3.647115882,185.3712238,0,0,2.76331,49.31666667,1.160028735,0.023522043,14.43178069,0.268816091,160,2018
DRL2,23,10:43,6.28,0.2,0.005,41,2,8,6.1,0.565685425,0.429,5.851,6.709,0.031847134,934.852,128.917,0.137900973,34.93157959,16.43528485,8.930392314,54.33670541,7.39999,18.6394,23.4647,33.28333333,8.611949063,0.258746592,13.49456809,0.47088097,0,2018
DRL2,24,10:59,7.24,0.23,0.002,41,4,8,7.17,0.650538239,0.49335,6.74665,7.73335,0.031767956,736.896,65.01,0.088221404,33.79742432,19.60158332,7.152599891,36.48990887,14.7191,22.0614,24.3985,40.65714286,7.542293449,0.185509677,13.57891634,0.684655306,0,2018
DRL2,25,11:07,1.47,0.12,0.281,37,3,8,1.36,0.339411255,0.2574,1.2126,1.7274,0.081632653,823.353,456.414,0.554335747,34.50265503,12.68461241,11.40275109,89.89435956,0.722229,10.7512,23.8817,49.35,3.920586691,0.079444512,14.42415467,0.408962964,0,2018
DRL1,26,10:09,6.46,0.31,0.004,42,3,8,6.36,0.876812409,0.66495,5.79505,7.12495,0.047987616,1187.207,338.815,0.285388311,46.01774597,11.8174412,10.36516229,87.71071603,4.4446,8.5275,15.5149,43.86666667,9.792786461,0.223239813,13.3907405,0.449071581,0,2018
DRL1,27,10:28,6.93,0.49,0.003,43,5,8,6.91,1.385929291,1.05105,5.87895,7.98105,0.070707071,946.964,30.513,0.032221922,48.02435303,24.6586253,9.792606633,39.71270302,18.4771,27.0591,31.1993,38.04,10.27681857,0.270158217,13.29327091,0.28713858,0,2018
DRL1,28,10:44,6.04,0.25,0.007,44,5,8,6.06,0.707106781,0.53625,5.50375,6.57625,0.041390728,1038.478,66.314,0.063856914,42.55419922,20.82143285,9.582528083,46.02242387,13.4691,21.2276,28.4778,30.38571429,5.989276131,0.197108288,12.89527033,0.055762322,0,2018
