InputID,TargetID,Distance
1,2,5
1,3,9.300533488
1,4,14.04257883
1,5,18.9179311
1,6,23.73286248
1,7,28.57071203
1,8,33.32246861
1,9,37.36905487
1,10,41.62337816
2,1,5
2,3,4.927485605
2,4,9.92558605
2,5,14.92495904
2,6,19.88730705
2,7,24.85171734
2,8,29.63499249
2,9,33.38114457
2,10,37.42150245
3,1,9.300533488
3,2,4.927485605
3,4,5
3,5,10
3,6,14.96994219
3,7,19.94507057
3,8,24.72743781
3,9,28.45521074
3,10,32.52617186
4,1,14.04257883
4,2,9.92558605
4,3,5
4,5,5
4,6,9.974479594
4,7,14.95855548
4,8,19.73848594
4,9,23.46853783
4,10,27.60320106
5,1,18.9179311
5,2,14.92495904
5,3,10
5,4,5
5,6,4.988117611
5,7,9.985535728
5,8,14.7570144
5,9,18.48906483
5,10,22.7139068
6,1,23.73286248
6,2,19.88730705
6,3,14.96994219
6,4,9.974479594
6,5,4.988117611
6,7,5
6,8,9.768987149
6,9,13.64555739
6,10,18.08229418
7,1,28.57071203
7,2,24.85171734
7,3,19.94507057
7,4,14.95855548
7,5,9.985535728
7,6,5
7,8,4.783279134
7,9,9.054675432
7,10,13.8236947
8,1,33.32246861
8,2,29.63499249
8,3,24.72743781
8,4,19.73848594
8,5,14.7570144
8,6,9.768987149
8,7,4.783279134
8,9,5
8,10,10
9,1,37.36905487
9,2,33.38114457
9,3,28.45521074
9,4,23.46853783
9,5,18.48906483
9,6,13.64555739
9,7,9.054675432
9,8,5
9,10,5
10,1,41.62337816
10,2,37.42150245
10,3,32.52617186
10,4,27.60320106
10,5,22.7139068
10,6,18.08229418
10,7,13.8236947
10,8,10
10,9,5
11,12,43.98543703
11,13,65.0666253
11,14,70.78709205
11,16,104.9720344
11,15,97.07027525
11,17,116.4220112
11,18,126.3908788
11,19,161.1146241
11,20,160.0517033
11,21,164.7532662
12,11,43.98543703
12,13,28.26819998
12,14,44.77173135
12,16,93.61388124
12,15,73.32234282
12,17,86.86690771
12,18,88.49841003
12,19,119.9777058
12,20,126.6734559
12,21,137.8380438
13,11,65.0666253
13,12,28.26819998
13,14,65.81099544
13,16,116.8617455
13,15,92.09238538
13,17,100.4010044
13,18,92.91436442
13,19,116.9516257
13,20,134.3361047
13,21,150.7663266
14,11,70.78709205
14,12,44.77173135
14,13,65.81099544
14,16,51.17655391
14,15,28.74328
14,17,45.7102167
14,18,59.29264753
14,19,97.45903963
14,20,89.36579977
14,21,95.30374754
15,11,97.07027525
15,12,73.32234282
15,13,92.09238538
15,14,28.74328
15,16,31.67109105
15,17,22.6948278
15,18,49.19563289
15,19,87.78764505
15,20,66.86566925
15,21,67.68876897
16,11,104.9720344
16,12,93.61388124
16,13,116.8617455
16,14,51.17655391
16,15,31.67109105
16,17,47.13349082
16,18,78.03532921
16,19,114.7429418
16,20,83.16026691
16,21,71.40332943
17,11,116.4220112
17,12,86.86690771
17,13,100.4010044
17,14,45.7102167
17,16,47.13349082
17,15,22.6948278
17,18,31.50195699
17,19,67.67990676
17,20,44.62966868
17,21,51.04206524
18,11,126.3908788
18,12,88.49841003
18,13,92.91436442
18,14,59.29264753
18,16,78.03532921
18,15,49.19563289
18,17,31.50195699
18,19,39.11606649
18,20,42.11055786
18,21,64.98789757
19,11,161.1146241
19,12,119.9777058
19,13,116.9516257
19,14,97.45903963
19,16,114.7429418
19,15,87.78764505
19,17,67.67990676
19,18,39.11606649
19,20,48.70842663
19,21,79.41050092
20,11,160.0517033
20,12,126.6734559
20,13,134.3361047
20,14,89.36579977
20,16,83.16026691
20,15,66.86566925
20,17,44.62966868
20,18,42.11055786
20,19,48.70842663
20,21,30.75029183
21,11,164.7532662
21,12,137.8380438
21,13,150.7663266
21,14,95.30374754
21,16,71.40332943
21,15,67.68876897
21,17,51.04206524
21,18,64.98789757
21,19,79.41050092
21,20,30.75029183
207,169,111.4871789
207,170,107.6081706
207,171,103.8250726
207,172,96.40957846
207,173,92.56375367
207,174,88.83293404
207,175,119.7080993
207,176,111.3815316
207,177,101.9957155
207,178,97.14011691
207,179,92.2999385
207,180,83.47356673
207,181,77.24849319
207,182,74.44512327
207,183,71.8806167
207,184,69.5813893
207,185,67.5745249
207,187,79.98930176
207,188,65.08851852
207,189,64.29104899
207,190,62.45132896
207,191,59.16067274
207,192,57.4439023
207,193,50.46075049
207,194,45.57669592
207,195,40.72079422
207,196,35.90446981
207,197,26.4769087
207,198,21.95391914
207,199,17.6896138
207,200,13.34641236
207,201,12.37268183
207,202,13.34315513
207,203,16.50803908
207,204,21.32798429
207,205,26.2154625
207,206,31.1386903
207,208,10
207,209,18.94180268
207,210,23.65261165
207,211,28.462259
207,212,38.22837279
207,213,43.15162379
207,223,14.17788934
207,222,14.4305797
207,221,16.29327206
207,220,19.44839791
207,219,23.44907759
207,218,27.77549817
207,217,32.29701778
207,216,37.21072526
207,215,46.32797336
207,214,49.46122578
207,225,54.65409134
207,226,50.51817861
207,227,46.55215397
207,228,42.80326751
207,229,39.33365453
207,230,36.22365316
207,231,33.57334833
207,186,65.42339005
207,224,15.4363838
208,169,121.3627306
208,170,117.4370454
208,171,113.5958049
208,172,106.0991098
208,173,102.3288476
208,174,98.66795321
208,175,129.7042531
208,176,121.3798591
208,177,111.9947647
208,178,107.1400894
208,179,102.2994143
208,180,93.46352344
208,181,87.15562162
208,182,84.27003302
208,183,81.589059
208,184,79.1334988
208,185,76.92494209
208,187,89.6346417
208,188,74.79821188
208,189,74.23722319
208,190,72.44564042
208,191,69.00356466
208,192,66.89254859
208,193,59.16222073
208,194,54.19808022
208,195,49.24119655
208,196,44.2940061
208,197,34.44540684
208,198,29.55925558
208,199,24.71867975
208,200,19.76702269
208,201,16.30406456
208,202,13.8170133
208,203,13.90135817
208,204,17.2767695
208,205,21.30083964
208,206,25.67030921
208,207,10
208,209,9.721641629
208,210,14.70601909
208,211,19.69831666
208,212,29.69068949
208,213,34.68852438
208,223,13.96132321
208,222,10.71597043
208,221,9.20573185
208,220,11.35187493
208,219,16.17556028
208,218,21.08156626
208,217,26.02337645
208,216,30.78908692
208,215,39.90268813
208,214,43.67404505
208,225,46.83520762
208,226,42.38211514
208,227,38.06508498
208,228,33.93608265
208,229,30.07265729
208,230,26.59082035
208,231,23.65964366
208,186,74.49189259
208,224,17.65910687
209,169,130.3252054
209,170,126.4925536
209,171,122.743933
209,172,115.34942
209,173,111.4862433
209,174,107.7166478
209,175,137.8833231
209,176,129.7822673
209,177,120.3842721
209,178,115.4820722
209,179,110.5886296
209,180,101.601367
209,181,94.83994634
209,182,91.68153709
209,183,88.6926889
209,184,85.8911048
209,185,83.29568239
209,187,98.93090812
209,188,84.02772617
209,189,83.0302184
209,190,80.67747131
209,191,76.53132248
209,192,73.52028472
209,193,64.65762956
209,194,59.6582455
209,195,54.65897411
209,196,49.65984943
209,197,39.66226211
209,198,34.6639904
209,199,29.66630118
209,200,24.82297074
209,201,20.16370789
209,202,15.71529049
209,203,12.67352716
209,204,13.01561848
209,205,15.10610334
209,206,18.35708016
209,207,18.94180268
209,208,9.721641629
209,210,5
209,211,10
209,212,20
209,213,25
209,223,22.4344009
209,222,18.0595553
209,221,14.10647834
209,220,13.76895798
209,219,18.39527289
209,218,23.1773149
209,217,28.03550939
209,216,32.15651228
209,215,40.6821512
209,214,45.10006797
209,225,45.2302267
209,226,40.38904697
209,227,35.59180836
209,228,30.85901052
209,229,26.22556458
209,230,21.75504413
209,231,17.57224097
209,186,80.38700169
209,224,26.62453826
210,169,134.7790683
210,170,131.0014631
210,171,127.3081671
210,172,119.9766395
210,173,116.060315
210,174,112.2301182
210,175,141.8989271
210,176,133.9244882
210,177,124.5259761
210,178,119.6020187
210,179,114.6846417
210,180,105.6267946
