id,Moi,Temp,Ecp
1,25.2,29.8,185
2,31,29.7,96
3,28.4,29.6,128
4,27.4,29.4,128
5,30.6,29.4,77
6,20.1,29.5,NA
7,20.5,29.6,NA
8,40.7,29.2,78
9,46.3,29.2,43
10,45.5,29.2,75
11,27.1,29,126
12,26.8,28.8,119
13,27.1,28.5,107
14,27.1,29.6,112
15,30.6,29.4,148
16,38.3,30.4,178
17,28.4,29.5,94
18,17.2,29.3,NA
19,27.5,29.2,103
20,28.5,29.1,73
21,15.4,29.2,NA
22,62.3,27.5,169
23,56,27.5,214
29,53.6,27.8,99
28,45.9,27.7,135
27,56,27.6,109
26,40.2,27.6,114
25,57,27.5,80
24,40.2,27.4,124
30,56.8,27.4,115
31,59.5,27.3,120
32,54.4,27.3,105
33,44.2,27.2,106
34,47.6,27.2,121
35,51.8,27.2,146
36,52.2,28.5,126
37,46.9,28.5,119
38,31.6,28.5,222
39,60.3,28.5,96
40,64.3,28.5,75
41,56.3,28.5,121
42,51.9,28,242
43,43.1,28,174
44,46.8,27.8,199
45,46.6,27.8,176
46,56.4,27.8,236
47,54.2,27.7,148
48,56,27.7,167
49,55.6,27.7,182
50,53.4,27.7,180
51,54.4,27.7,183
52,53.4,27.8,250
53,48.8,27.8,163
54,53.7,27.9,167
55,58.7,27.9,139
56,49.2,27.9,156
57,43,27.9,157
58,44.7,28.1,156
59,54.3,28,137
60,43.6,27.8,89
61,46.6,27.6,154
62,61.3,29.2,109
63,54.5,29.2,140
64,69.3,28.9,140
65,55.2,28.6,120
66,54.2,28.5,140
67,21.6,31.6,166
68,25.4,31.2,215
69,42.6,31.2,101
70,29.3,32.4,119
71,40.6,32.4,91
72,48.2,32.5,136
73,45.5,33.1,172
74,50.4,29.8,84
75,50.1,29.7,94
76,55.1,29.5,77
77,35.3,29,213
78,48.5,29,151
79,49.4,28.8,138
80,45.5,28.4,114
81,57.8,28.2,60
82,46.5,28,69
83,49.5,27.9,86
84,47.4,27.8,71
85,34,27.7,109
86,28.5,27.7,90
87,30.4,27.6,132
88,24,27.6,195
89,25,27.5,141
90,41,27.4,178
91,41.8,27.4,51
92,31.3,27.3,69
93,31,27.3,77
94,23,27.2,64
95,40.9,27.2,56
96,41.6,27.2,57
97,30.8,27.2,83
98,35.2,27.2,86
99,11.4,27.2,NA
100,35.4,27.2,128
101,32.8,27.3,115
102,27.3,27.2,102
103,13.1,31.1,
104,31.1,30.9,153
105,22,30.6,154
106,21.1,30.5,252
107,38.6,31.3,214
108,56.8,31.8,192
109,51.8,32.1,125
110,43.9,30.5,186
111,31.2,33.3,206
112,34.7,33,191
113,29.1,32.5,271
114,35,32.3,222
115,25.7,31.8,170
116,50.4,31.4,156
117,33.6,31.2,175
118,32.9,31,193
119,47.5,31,131
120,43,31.5,114
121,35.2,31.5,157
122,24.1,31.3,260
123,24.4,31.1,191
124,17.1,30.9,NA
125,43.4,27.8,57
126,41.1,27.7,61
127,49,27.6,79
128,49.3,27.6,85
129,48.3,27.6,95
130,53.7,27.5,93
131,53.4,27.5,116
132,55.8,27.5,104
133,52.3,27.5,93
134,39.1,27.5,114
135,34.1,27.4,198
136,36,27.3,187
137,47.5,27.3,110
138,29.9,27.2,160
139,30.9,27.2,260
140,49.6,27.2,125
141,44.4,27.2,83
142,44,27.2,160
143,44.2,27.2,155
144,30.8,27.3,279
145,31,27.3,238
146,30.6,27.3,178
147,29.9,27.3,169
