id,time,Moi,type
1,9:00:00,25.2,3
2,9:00:00,31,3
3,9:00:00,28.4,3
4,9:00:00,27.4,3
5,9:00:00,30.6,3
6,9:00:00,20.1,3
7,9:00:00,20.5,3
8,9:00:00,40.7,3
9,9:00:00,46.3,3
10,9:00:00,45.5,3
11,9:30:00,27.1,3
12,10:00:00,26.8,3
13,10:00:00,27.1,3
14,10:30:00,27.1,3
15,10:30:00,30.6,3
16,10:30:00,38.3,3
17,11:00:00,28.4,3
18,11:00:00,17.2,3
19,11:00:00,27.5,3
20,11:00:00,28.5,3
21,11:30:00,15.4,3
42,9:00:00,51.9,1
43,9:00:00,43.1,1
44,9:00:00,46.8,1
45,9:00:00,46.6,1
46,9:00:00,56.4,1
47,9:00:00,54.2,1
57,9:30:00,43,1
58,9:30:00,44.7,1
37,10:30:00,46.9,2
38,10:30:00,31.6,2
39,10:30:00,60.3,2
40,10:30:00,64.3,2
41,10:30:00,56.3,2
59,9:30:00,54.3,1
60,9:30:00,43.6,1
61,9:30:00,46.6,1
77,9:30:00,35.3,1
78,9:30:00,48.5,1
79,9:30:00,49.4,1
48,9:00:00,56,2
49,9:00:00,55.6,2
50,9:00:00,53.4,2
51,9:00:00,54.4,2
52,9:00:00,53.4,2
53,9:00:00,48.8,2
54,9:30:00,53.7,2
55,9:30:00,58.7,2
56,9:30:00,49.2,2
129,9:30:00,48.3,1
130,9:30:00,53.7,1
131,9:30:00,53.4,1
22,10:00:00,62.3,1
23,10:00:00,56,1
62,10:00:00,61.3,2
63,10:00:00,54.5,2
64,10:00:00,69.3,2
65,10:30:00,55.2,2
66,10:30:00,54.2,2
24,10:00:00,40.2,1
25,10:00:00,57,1
69,11:30:00,42.6,2
70,12:00:00,29.3,2
71,12:00:00,40.6,2
72,12:00:00,48.2,2
73,12:00:00,45.5,2
74,9:00:00,50.4,2
75,9:00:00,50.1,2
76,9:00:00,55.1,2
26,10:00:00,40.2,1
27,10:00:00,56,1
28,10:00:00,45.9,1
275,9:00:00,50.1,1
276,9:00:00,49.5,1
277,9:00:00,42.9,1
278,9:00:00,42.1,1
