time,vpd,type,temp,rh
0:00:00,0.267526471,3,22.2,99
0:00:00,0.28085254,3,23,99
0:30:00,0.265900326,3,22.1,99
0:30:00,0.28085254,3,23,99
1:00:00,0.265900326,3,22.1,99
1:00:00,0.282558513,3,23.1,99
1:30:00,0.265900326,3,22.1,99
1:30:00,0.282558513,3,23.1,99
2:00:00,0.264282851,3,22,99
2:00:00,0.282558513,3,23.1,99
2:30:00,0.264282851,3,22,99
2:30:00,0.28085254,3,23,99
3:00:00,0.262674008,3,21.9,99
3:00:00,0.28085254,3,23,99
3:30:00,0.262674008,3,21.9,99
3:30:00,0.28085254,3,23,99
4:00:00,0.261073757,3,21.8,99
4:00:00,0.28085254,3,23,99
4:30:00,0.261073757,3,21.8,99
4:30:00,0.28085254,3,23,99
5:00:00,0.261073757,3,21.8,99
5:00:00,0.28085254,3,23,99
5:30:00,0.259482058,3,21.7,99
5:30:00,0.279155598,3,22.9,99
6:00:00,0.259482058,3,21.7,99
6:00:00,0.279155598,3,22.9,99
6:30:00,0.259482058,3,21.7,99
6:30:00,0.277467646,3,22.8,99
7:00:00,0.259482058,3,21.7,99
7:00:00,0.277467646,3,22.8,99
7:30:00,0.259482058,3,21.7,99
7:30:00,0.277467646,3,22.8,99
8:00:00,0.261073757,3,21.8,99
8:00:00,0.275788643,3,22.7,99
8:30:00,0.264282851,3,22,99
8:30:00,0.277467646,3,22.8,99
9:00:00,0.269161327,3,22.3,99
9:00:00,0.284273558,3,23.2,99
9:30:00,0.27411855,3,22.6,99
9:30:00,0.291225273,3,23.6,99
10:00:00,0.301932011,3,24.2,99
10:00:00,0.28085254,3,23,99
10:00:00,0.303749575,3,24.3,99
10:30:00,0.303749575,3,24.3,99
10:30:00,0.289473531,3,23.5,99
10:30:00,0.307413462,3,24.5,99
11:00:00,0.303749575,3,24.3,99
11:00:00,0.296536329,3,23.9,99
11:00:00,0.318638289,3,25.1,99
11:30:00,0.314857473,3,24.9,99
11:30:00,0.303749575,3,24.3,99
11:30:00,0.328264666,3,25.6,99
12:00:00,0.32631929,3,25.5,99
12:00:00,0.311115979,3,24.7,99
12:00:00,0.33416181,3,25.9,99
12:30:00,0.33416181,3,25.9,99
12:30:00,0.322458777,3,25.3,99
12:30:00,0.352412946,3,26.8,99
13:00:00,0.346234719,3,26.5,99
13:00:00,0.332185882,3,25.8,99
13:00:00,0.35868735,3,27.1,99
13:30:00,0.362924342,3,27.3,99
13:30:00,0.33416181,3,25.9,99
13:30:00,0.354493665,3,26.9,99
14:00:00,0.378100331,3,28,99
14:00:00,0.348283519,3,26.6,99
14:00:00,0.352412946,3,26.8,99
14:30:00,0.393827931,3,28.7,99
14:30:00,0.362924342,3,27.3,99
14:30:00,0.35868735,3,27.1,99
15:00:00,0.410123986,3,29.4,99
15:00:00,0.369361857,3,27.6,99
15:00:00,0.424557544,3,30,99
15:30:00,0.393827931,3,28.7,99
15:30:00,0.354493665,3,26.9,99
15:30:00,0.387018916,3,28.4,99
16:00:00,0.382536915,3,28.2,99
16:00:00,0.344196466,3,26.4,99
16:00:00,0.37152976,3,27.7,99
16:30:00,0.382536915,3,28.2,99
16:30:00,0.332185882,3,25.8,99
16:30:00,0.387018916,3,28.4,99
17:00:00,0.362924342,3,27.3,99
17:00:00,0.318638289,3,25.1,99
17:00:00,0.391546725,3,28.6,99
17:30:00,0.30925987,3,24.6,99
17:30:00,0.305576711,3,24.4,99
17:30:00,0.391546725,3,28.6,99
18:00:00,0.305576711,3,24.4,99
18:00:00,0.301932011,3,24.2,99
18:00:00,0.382536915,3,28.2,99
18:30:00,0.303749575,3,24.3,99
18:30:00,0.300123977,3,24.1,99
19:00:00,0.301932011,3,24.2,99
19:00:00,0.296536329,3,23.9,99
19:30:00,0.29475663,3,23.8,99
19:30:00,0.29475663,3,23.8,99
20:00:00,0.282558513,3,23.1,99
20:00:00,0.292986292,3,23.7,99
20:30:00,0.269161327,3,22.3,99
20:30:00,0.289473531,3,23.5,99
21:00:00,0.264282851,3,22,99
21:00:00,0.285997715,3,23.3,99
21:30:00,0.265900326,3,22.1,99
21:30:00,0.282558513,3,23.1,99
22:00:00,0.265900326,3,22.1,99
22:00:00,0.282558513,3,23.1,99
22:30:00,0.262674008,3,21.9,99
22:30:00,0.28085254,3,23,99
23:00:00,0.262674008,3,21.9,99
23:00:00,0.28085254,3,23,99
23:30:00,0.265900326,3,22.1,99
23:30:00,0.279155598,3,22.9,99
0:00:00,0.324384009,1,25.4,99
0:00:00,0.324384009,1,25.4,99
0:00:00,0.30925987,1,24.6,99
0:00:00,0.301932011,1,24.2,99
0:00:00,0.332185882,1,25.8,99
0:00:00,0.30925987,1,24.6,99
0:30:00,0.32631929,1,25.5,99
0:30:00,0.322458777,1,25.3,99
0:30:00,0.30925987,1,24.6,99
0:30:00,0.305576711,1,24.4,99
0:30:00,0.332185882,1,25.8,99
0:30:00,0.307413462,1,24.5,99
1:00:00,0.324384009,1,25.4,99
1:00:00,0.318638289,1,25.1,99
1:00:00,0.30925987,1,24.6,99
1:00:00,0.305576711,1,24.4,99
1:00:00,0.320543552,1,25.2,99
1:00:00,0.29475663,1,23.8,99
1:30:00,0.320543552,1,25.2,99
1:30:00,0.316742944,1,25,99
1:30:00,0.305576711,1,24.4,99
1:30:00,0.305576711,1,24.4,99
1:30:00,0.316742944,1,25,99
1:30:00,0.292986292,1,23.7,99
